Country,Region,Population,AreaPerSqm,PopDensityPerSqm,GDPpercapital,LiteracyPercent
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,36120,39.9,800,42.4
Gaza Strip ,NEAR EAST                          ,1428757,360,3968.8,600,0
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,267667,5.3,5500,63.2
Estonia ,BALTICS                            ,1324333,45226,29.3,12300,99.8
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,2040,608.3,11400,85.6
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,65.5,4900,81.6
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,207.9,9500,98.6
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,15007,70.8,500,58.6
Fiji ,OCEANIA                            ,905949,18270,49.6,5800,93.7
Qatar ,NEAR EAST                          ,885359,11437,77.4,21500,82.5
Reunion ,SUB-SAHARAN AFRICA                 ,787584,2517,312.9,5800,88.9
Cyprus ,NEAR EAST                          ,784301,9250,84.8,19200,97.6
Guyana ,LATIN AMER. & CARIB    ,767245,214970,3.6,4000,98.8
Bahrain ,NEAR EAST                          ,698585,665,1050.5,16900,89.1
Comoros ,SUB-SAHARAN AFRICA                 ,690948,2170,318.4,700,56.5
Solomon Islands ,OCEANIA                            ,552438,28450,19.4,1700,0
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,28051,19.3,2700,85.7
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,1300,67.9
Luxembourg ,WESTERN EUROPE                     ,474413,2586,183.5,55100,100
Macau ,ASIA (EX. NEAR EAST)         ,453125,28,16183,19400,94.5
Guadeloupe ,LATIN AMER. & CARIB    ,452776,1780,254.4,8000,90
Suriname ,LATIN AMER. & CARIB    ,439117,163270,2.7,4000,93
Martinique ,LATIN AMER. & CARIB    ,436131,1100,396.5,14400,97.7
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,4033,104.4,1400,76.6
